Time,CORE_ZN:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:SAN.DIEGO-BROWN.FIELD.MUNI.AP_CA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.448235E+02,2.841860E+03,1.787807E-02,2.730181E-01,1.117538E+03,2.057059E+03,4.491429E-02,1.976184E-01,6.886277E+02,1.287167E+03,2.767616E-02,1.236554E-01,1.095185E+03,2.015494E+03,4.401591E-02,1.936254E-01,6.898247E+02,1.380420E+03,2.772426E-02,1.326137E-01
00:30:00,4.441732E+02,2.834540E+03,1.785193E-02,2.723148E-01,1.117399E+03,2.040370E+03,4.490868E-02,1.960152E-01,6.885592E+02,1.275502E+03,2.767340E-02,1.225349E-01,1.095040E+03,2.000142E+03,4.401007E-02,1.921506E-01,6.897561E+02,1.364641E+03,2.772150E-02,1.310979E-01
00:45:00,4.435288E+02,2.827447E+03,1.782603E-02,2.716335E-01,1.117260E+03,2.024251E+03,4.490310E-02,1.944668E-01,6.884911E+02,1.264202E+03,2.767065E-02,1.214493E-01,1.094896E+03,1.985307E+03,4.400427E-02,1.907255E-01,6.896878E+02,1.349597E+03,2.771875E-02,1.296527E-01
01:00:00,4.428904E+02,2.820555E+03,1.780037E-02,2.709714E-01,1.117122E+03,2.008686E+03,4.489755E-02,1.929715E-01,6.884232E+02,1.253249E+03,2.766792E-02,1.203971E-01,1.094752E+03,1.970961E+03,4.399850E-02,1.893474E-01,6.896198E+02,1.335216E+03,2.771602E-02,1.282712E-01
01:15:00,4.422578E+02,2.813845E+03,1.777495E-02,2.703268E-01,1.116985E+03,1.993770E+03,4.489204E-02,1.915386E-01,6.883557E+02,1.242738E+03,2.766521E-02,1.193874E-01,1.094610E+03,1.957249E+03,4.399278E-02,1.880302E-01,6.895523E+02,1.321547E+03,2.771330E-02,1.269581E-01
01:30:00,4.416311E+02,2.807303E+03,1.774976E-02,2.696984E-01,1.116849E+03,1.979464E+03,4.488657E-02,1.901643E-01,6.882886E+02,1.232636E+03,2.766251E-02,1.184169E-01,1.094469E+03,1.944139E+03,4.398709E-02,1.867708E-01,6.894851E+02,1.308543E+03,2.771059E-02,1.257089E-01
01:45:00,4.416950E+02,2.801001E+03,1.775233E-02,2.690929E-01,1.116868E+03,1.965688E+03,4.488732E-02,1.888409E-01,6.882987E+02,1.222886E+03,2.766291E-02,1.174803E-01,1.094488E+03,1.931548E+03,4.398787E-02,1.855612E-01,6.894952E+02,1.296132E+03,2.771100E-02,1.245166E-01
02:00:00,4.417582E+02,2.794850E+03,1.775487E-02,2.685020E-01,1.116887E+03,1.952378E+03,4.488806E-02,1.875623E-01,6.883086E+02,1.213457E+03,2.766330E-02,1.165745E-01,1.094507E+03,1.919414E+03,4.398863E-02,1.843956E-01,6.895050E+02,1.284268E+03,2.771139E-02,1.233770E-01
02:15:00,4.418208E+02,2.788845E+03,1.775738E-02,2.679252E-01,1.116905E+03,1.939590E+03,4.488879E-02,1.863338E-01,6.883181E+02,1.204387E+03,2.766369E-02,1.157032E-01,1.094526E+03,1.907798E+03,4.398938E-02,1.832797E-01,6.895146E+02,1.272982E+03,2.771177E-02,1.222928E-01
02:30:00,4.418827E+02,2.782986E+03,1.775987E-02,2.673624E-01,1.116922E+03,1.927292E+03,4.488949E-02,1.851524E-01,6.883275E+02,1.195662E+03,2.766406E-02,1.148651E-01,1.094544E+03,1.896682E+03,4.399011E-02,1.822119E-01,6.895239E+02,1.262238E+03,2.771215E-02,1.212607E-01
02:45:00,4.419441E+02,2.777272E+03,1.776234E-02,2.668135E-01,1.116939E+03,1.915349E+03,4.489018E-02,1.840050E-01,6.883365E+02,1.187165E+03,2.766442E-02,1.140488E-01,1.094562E+03,1.885884E+03,4.399082E-02,1.811746E-01,6.895330E+02,1.251902E+03,2.771251E-02,1.202677E-01
03:00:00,4.420049E+02,2.771700E+03,1.776478E-02,2.662782E-01,1.116956E+03,1.903762E+03,4.489086E-02,1.828919E-01,6.883454E+02,1.178909E+03,2.766478E-02,1.132557E-01,1.094579E+03,1.875404E+03,4.399151E-02,1.801678E-01,6.895419E+02,1.241947E+03,2.771286E-02,1.193114E-01
03:15:00,4.420651E+02,2.766266E+03,1.776720E-02,2.657562E-01,1.116973E+03,1.892531E+03,4.489152E-02,1.818130E-01,6.883541E+02,1.170895E+03,2.766512E-02,1.124858E-01,1.094596E+03,1.865247E+03,4.399220E-02,1.791921E-01,6.895506E+02,1.232351E+03,2.771321E-02,1.183895E-01
03:30:00,4.421247E+02,2.760967E+03,1.776960E-02,2.652471E-01,1.116989E+03,1.881652E+03,4.489217E-02,1.807679E-01,6.883625E+02,1.163121E+03,2.766546E-02,1.117389E-01,1.094613E+03,1.855413E+03,4.399287E-02,1.782473E-01,6.895591E+02,1.223085E+03,2.771355E-02,1.174994E-01
03:45:00,4.421838E+02,2.755797E+03,1.777197E-02,2.647504E-01,1.117005E+03,1.871029E+03,4.489280E-02,1.797474E-01,6.883708E+02,1.155529E+03,2.766580E-02,1.110097E-01,1.094629E+03,1.845812E+03,4.399353E-02,1.773250E-01,6.895674E+02,1.214071E+03,2.771389E-02,1.166335E-01
04:00:00,4.422422E+02,2.750749E+03,1.777432E-02,2.642655E-01,1.117020E+03,1.860649E+03,4.489343E-02,1.787503E-01,6.883790E+02,1.148113E+03,2.766612E-02,1.102972E-01,1.094646E+03,1.836432E+03,4.399417E-02,1.764239E-01,6.895755E+02,1.205302E+03,2.771421E-02,1.157911E-01
04:15:00,4.423001E+02,2.745817E+03,1.777665E-02,2.637917E-01,1.117036E+03,1.850592E+03,4.489404E-02,1.777841E-01,6.883870E+02,1.140918E+03,2.766644E-02,1.096060E-01,1.094661E+03,1.827348E+03,4.399481E-02,1.755513E-01,6.895835E+02,1.196820E+03,2.771453E-02,1.149762E-01
