Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  00:15:00,16.2,3.0,19.45643775338268,11.945347315313376,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  00:30:00,16.2,3.0,19.41145638922837,11.946128131332415,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  00:45:00,16.2,3.0,19.37255912620881,11.946673388084017,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  01:00:00,16.2,3.0,19.340890258139205,11.946987388318697,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  01:15:00,16.2,2.69079,19.29327990212102,11.94708076395199,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  01:30:00,16.2,2.69079,19.244722121263153,11.946965194459505,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  01:45:00,16.2,2.69079,19.205566459570329,11.946654336118117,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  02:00:00,16.2,2.69079,19.175297158543768,11.946164135448944,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  02:15:00,16.2,3.0,19.1644737747589,11.94551184202934,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  02:30:00,16.2,3.0,19.15585892545701,11.944727387799102,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  02:45:00,16.2,3.0,19.141032308477344,11.943823425569372,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  03:00:00,16.2,3.0,19.121761886339657,11.942809112567986,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  03:15:00,16.2,2.69079,19.085493576856334,11.941702731082268,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  03:30:00,16.2,2.69079,19.04949733655747,11.940526852162322,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  03:45:00,16.2,2.69079,19.022566875526054,11.939302150497437,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  04:00:00,16.2,2.69079,19.002933327949287,11.938045322727693,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  04:15:00,16.2,3.0,19.008789753602568,11.936808433866407,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  04:30:00,16.2,3.0,19.01824971881405,11.93558036631304,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  04:45:00,16.2,3.0,19.018755410092383,11.934336973676386,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  05:00:00,16.2,3.0,19.011764152442848,11.933085159748583,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  05:15:00,16.2,2.69079,19.005995762500527,11.931806568120534,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  05:30:00,16.2,2.69079,19.006510005871385,11.930657054114344,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  05:45:00,16.2,2.69079,19.010396270662925,11.929623963312129,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  06:00:00,16.2,2.69079,19.014686481280319,11.928621794353266,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  06:15:00,16.2,3.0,19.046996056826246,11.927533537144047,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  06:30:00,16.2,3.0,19.084114717903149,11.926465953632216,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  06:45:00,16.2,3.0,19.11014021422506,11.925538548688645,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  07:00:00,16.2,3.0,19.125541109907326,11.924763508836627,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  07:15:00,16.2,2.6493,19.121466781856069,11.924116634578806,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  07:30:00,16.2,2.6493,19.117995454581416,11.923590084886687,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  07:45:00,16.2,2.6493,19.12406317467802,11.923197639696327,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  08:00:00,16.2,2.6493,19.135278378621249,11.922932536590002,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  08:15:00,16.2,1.22583,19.051618148029037,11.922778119786802,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  08:30:00,16.2,1.22583,18.952361095946896,11.922728233391615,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  08:45:00,16.2,1.22583,18.892408256861999,11.922771186350117,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  09:00:00,16.2,1.22583,18.868287064901087,11.92288077503075,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  09:15:00,16.2,0.72567,18.820612116261147,11.923022121947052,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  09:30:00,16.2,0.72567,18.76698439915224,11.92315952293021,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  09:45:00,16.2,0.72567,18.72494688656606,11.923260645605963,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  10:00:00,16.2,0.72567,18.69653517362169,11.923298307561045,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  10:15:00,16.2,0.72567,18.67678860594505,11.923251874817972,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  10:30:00,16.2,0.72567,18.659309152424617,11.923108153127738,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  10:45:00,16.2,0.72567,18.641692609441305,11.922861329899295,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  11:00:00,16.2,0.72567,18.624207732847219,11.92251215016192,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  11:15:00,16.2,0.72567,18.608059858347585,11.922066612274195,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  11:30:00,16.2,0.72567,18.594289766801617,11.921534396186845,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  11:45:00,16.2,0.72567,18.581508813236899,11.9209273021974,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  12:00:00,16.2,0.72567,18.568930208105429,11.920257949876446,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  12:15:00,16.2,0.72567,18.55587466900001,11.91953885325438,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  12:30:00,16.2,0.72567,18.543239434204535,11.918805727722673,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  12:45:00,16.2,0.72567,18.531590197527558,11.918056993449604,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  13:00:00,16.2,0.72567,18.522164421370066,11.917282129647776,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  13:15:00,16.2,0.72567,18.514531777201929,11.916487203823089,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  13:30:00,16.2,0.72567,18.506843839486945,11.91568485291349,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  13:45:00,16.2,0.72567,18.498609214930395,11.91488398814846,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  14:00:00,16.2,0.72567,18.49022217079061,11.914089563677582,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  14:15:00,16.2,0.72567,18.48418371395761,11.913305419047342,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  14:30:00,16.2,0.72567,18.479073950768794,11.912535344170048,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  14:45:00,16.2,0.72567,18.47443153712807,11.911782867414344,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  15:00:00,16.2,0.72567,18.470171947342668,11.91105105224903,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  15:15:00,16.2,0.72567,18.47464942415538,11.910342448018211,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  15:30:00,16.2,0.72567,18.481964407210954,11.909704847440123,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  15:45:00,16.2,0.72567,18.486946006576209,11.909117779910325,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  16:00:00,16.2,0.72567,18.48899651233201,11.908546201860766,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  16:15:00,16.2,0.8849400000000001,18.52602880010961,11.907920349368073,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  16:30:00,16.2,0.8849400000000001,18.573619618399897,11.907312775883776,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  16:45:00,16.2,0.8849400000000001,18.611098263261959,11.906794798624578,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  17:00:00,16.2,0.8849400000000001,18.637022217127819,11.90637672341659,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  17:15:00,16.2,1.6593,18.7257183859792,11.90605334664554,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  17:30:00,16.2,1.6593,18.82532197071475,11.905839056101325,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  17:45:00,16.2,1.6593,18.89893966742176,11.905756431091675,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  18:00:00,16.2,1.6593,18.94743546364014,11.905826665003426,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  18:15:00,16.2,2.69079,19.05664992464951,11.906068732242057,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  18:30:00,16.2,2.69079,19.172207696651048,11.906497512326677,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  18:45:00,16.2,2.69079,19.25826141457503,11.907123056746333,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  19:00:00,16.2,2.69079,19.316848838084668,11.907952040989504,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  19:15:00,16.2,2.69079,19.36906259997908,11.90898819066896,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  19:30:00,16.2,2.69079,19.419211543509286,11.910230849853719,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  19:45:00,16.2,2.69079,19.46589475340964,11.911673293338263,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  20:00:00,16.2,2.69079,19.509395767669049,11.913302029269705,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0 
 02/21  20:15:00,16.2,2.69079,19.550691645156335,11.91509742656263,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  20:30:00,16.2,2.69079,19.58810371590115,11.917035413856353,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
 02/21  20:45:00,16.2,2.69079,19.621706295117737,11.919089463548076,0.0,0.0,25.0,0.0,0.0,0.0,15.0,25.0,,0.0,0.0,0.0 
